Data,Entrada,Saida,Placa,Marca/Modelo,Entrada_Completa,Saida_Completa,Duracao_temp,Marca,Modelo,Duracao,Mes,Hora_Entrada,Dia_Semana,Dia_Semana_PT
13/03/2025,06:51,15:57,POI0J21,Peugeot/208,2025-03-13 06:51:00,2025-03-13 15:57:00,0 days 09:06:00,0,1,9.1,3,6,Thursday,Quinta
13/03/2025,06:18,17:59,LKM1Z43,Citroen/C3,2025-03-13 06:18:00,2025-03-13 17:59:00,0 days 11:41:00,0,1,11.683333333333334,3,6,Thursday,Quinta
13/03/2025,06:24,15:23,HGF2X65,BYD/Dolphin,2025-03-13 06:24:00,2025-03-13 15:23:00,0 days 08:59:00,0,1,8.983333333333333,3,6,Thursday,Quinta
13/03/2025,06:11,19:23,QAZ3W87,Toyota/Etios,2025-03-13 06:11:00,2025-03-13 19:23:00,0 days 13:12:00,0,1,13.2,3,6,Thursday,Quinta
13/03/2025,08:55,18:47,WSX4E09,Chevrolet/Cruze,2025-03-13 08:55:00,2025-03-13 18:47:00,0 days 09:52:00,0,1,9.866666666666667,3,8,Thursday,Quinta
13/03/2025,09:04,18:09,EDC5R21,Volkswagen/Fox,2025-03-13 09:04:00,2025-03-13 18:09:00,0 days 09:05:00,0,1,9.083333333333334,3,9,Thursday,Quinta
13/03/2025,08:36,15:21,RFV6T43,Hyundai/Tucson,2025-03-13 08:36:00,2025-03-13 15:21:00,0 days 06:45:00,0,1,6.75,3,8,Thursday,Quinta
13/03/2025,08:32,16:27,TGB7Y65,Honda/Fit,2025-03-13 08:32:00,2025-03-13 16:27:00,0 days 07:55:00,0,1,7.916666666666667,3,8,Thursday,Quinta
13/03/2025,09:00,15:24,YHN8U87,Nissan/March,2025-03-13 09:00:00,2025-03-13 15:24:00,0 days 06:24:00,0,1,6.4,3,9,Thursday,Quinta
13/03/2025,08:11,19:03,UJM9I09,Fiat/Palio,2025-03-13 08:11:00,2025-03-13 19:03:00,0 days 10:52:00,0,1,10.866666666666667,3,8,Thursday,Quinta
13/03/2025,08:08,18:59,IKL0O21,Renault/Sandero,2025-03-13 08:08:00,2025-03-13 18:59:00,0 days 10:51:00,0,1,10.85,3,8,Thursday,Quinta
13/03/2025,08:20,16:04,OLP1P43,Jeep/Renegade,2025-03-13 08:20:00,2025-03-13 16:04:00,0 days 07:44:00,0,1,7.733333333333333,3,8,Thursday,Quinta
13/03/2025,08:26,15:25,PAS2D65,Peugeot/308,2025-03-13 08:26:00,2025-03-13 15:25:00,0 days 06:59:00,0,1,6.983333333333333,3,8,Thursday,Quinta
13/03/2025,08:34,15:34,DFG3S87,Citroen/C4,2025-03-13 08:34:00,2025-03-13 15:34:00,0 days 07:00:00,0,1,7.0,3,8,Thursday,Quinta
13/03/2025,08:59,19:09,SDF4G09,Ford/Focus,2025-03-13 08:59:00,2025-03-13 19:09:00,0 days 10:10:00,0,1,10.166666666666666,3,8,Thursday,Quinta
13/03/2025,09:01,18:26,GHG5H21,Kia/Soul,2025-03-13 09:01:00,2025-03-13 18:26:00,0 days 09:25:00,0,1,9.416666666666666,3,9,Thursday,Quinta
13/03/2025,08:27,18:43,HJK6J43,Mitsubishi/ASX,2025-03-13 08:27:00,2025-03-13 18:43:00,0 days 10:16:00,0,1,10.266666666666667,3,8,Thursday,Quinta
13/03/2025,08:38,16:36,JKL7K65,Suzuki/Swift,2025-03-13 08:38:00,2025-03-13 16:36:00,0 days 07:58:00,0,1,7.966666666666667,3,8,Thursday,Quinta
13/03/2025,08:32,18:19,AJC7M65,Chevrolet/Celta,2025-03-13 08:32:00,2025-03-13 18:19:00,0 days 09:47:00,0,1,9.783333333333333,3,8,Thursday,Quinta
13/03/2025,09:44,18:48,DEF7L65,Fiat/Uno,2025-03-13 09:44:00,2025-03-13 18:48:00,0 days 09:04:00,0,1,9.066666666666666,3,9,Thursday,Quinta
13/03/2025,08:23,16:14,JBL7K65,Ford/Fiesta,2025-03-13 08:23:00,2025-03-13 16:14:00,0 days 07:51:00,0,1,7.85,3,8,Thursday,Quinta
14/03/2025,06:30,17:13,ALC1D23,Toyota/Corolla,2025-03-14 06:30:00,2025-03-14 17:13:00,0 days 10:43:00,0,1,10.716666666666667,3,6,Friday,Sexta
14/03/2025,06:53,18:10,JDL2M45,Chevrolet/Onix,2025-03-14 06:53:00,2025-03-14 18:10:00,0 days 11:17:00,0,1,11.283333333333333,3,6,Friday,Sexta
14/03/2025,06:56,15:16,QWE3R67,Volkswagen/Polo,2025-03-14 06:56:00,2025-03-14 15:16:00,0 days 08:20:00,0,1,8.333333333333334,3,6,Friday,Sexta
14/03/2025,06:32,19:14,RTY4U89,Hyundai/HB20,2025-03-14 06:32:00,2025-03-14 19:14:00,0 days 12:42:00,0,1,12.7,3,6,Friday,Sexta
14/03/2025,06:04,17:12,UIO5P10,Honda/Civic,2025-03-14 06:04:00,2025-03-14 17:12:00,0 days 11:08:00,0,1,11.133333333333333,3,6,Friday,Sexta
14/03/2025,06:07,17:45,ASD6F32,Nissan/Kicks,2025-03-14 06:07:00,2025-03-14 17:45:00,0 days 11:38:00,0,1,11.633333333333333,3,6,Friday,Sexta
14/03/2025,06:26,19:11,ZXC7V54,Fiat/Fastback,2025-03-14 06:26:00,2025-03-14 19:11:00,0 days 12:45:00,0,1,12.75,3,6,Friday,Sexta
14/03/2025,06:18,15:58,VBN8G76,Renault/Kwid,2025-03-14 06:18:00,2025-03-14 15:58:00,0 days 09:40:00,0,1,9.666666666666666,3,6,Friday,Sexta
14/03/2025,06:03,17:14,MNB9H98,Jeep/Compass,2025-03-14 06:03:00,2025-03-14 17:14:00,0 days 11:11:00,0,1,11.183333333333334,3,6,Friday,Sexta
14/03/2025,06:35,17:59,POI0J21,Peugeot/208,2025-03-14 06:35:00,2025-03-14 17:59:00,0 days 11:24:00,0,1,11.4,3,6,Friday,Sexta
14/03/2025,06:21,17:50,LKM1Z43,Citroen/C3,2025-03-14 06:21:00,2025-03-14 17:50:00,0 days 11:29:00,0,1,11.483333333333333,3,6,Friday,Sexta
14/03/2025,06:01,19:26,HGF2X65,BYD/Dolphin,2025-03-14 06:01:00,2025-03-14 19:26:00,0 days 13:25:00,0,1,13.416666666666666,3,6,Friday,Sexta
14/03/2025,06:51,16:43,QAZ3W87,Toyota/Etios,2025-03-14 06:51:00,2025-03-14 16:43:00,0 days 09:52:00,0,1,9.866666666666667,3,6,Friday,Sexta
14/03/2025,08:08,17:47,WSX4E09,Chevrolet/Cruze,2025-03-14 08:08:00,2025-03-14 17:47:00,0 days 09:39:00,0,1,9.65,3,8,Friday,Sexta
14/03/2025,09:28,16:24,EDC5R21,Volkswagen/Fox,2025-03-14 09:28:00,2025-03-14 16:24:00,0 days 06:56:00,0,1,6.933333333333334,3,9,Friday,Sexta
14/03/2025,08:20,17:24,RFV6T43,Hyundai/Tucson,2025-03-14 08:20:00,2025-03-14 17:24:00,0 days 09:04:00,0,1,9.066666666666666,3,8,Friday,Sexta
14/03/2025,09:04,19:20,TGB7Y65,Honda/Fit,2025-03-14 09:04:00,2025-03-14 19:20:00,0 days 10:16:00,0,1,10.266666666666667,3,9,Friday,Sexta
14/03/2025,09:04,17:28,YHN8U87,Nissan/March,2025-03-14 09:04:00,2025-03-14 17:28:00,0 days 08:24:00,0,1,8.4,3,9,Friday,Sexta
14/03/2025,09:42,17:03,UJM9I09,Fiat/Palio,2025-03-14 09:42:00,2025-03-14 17:03:00,0 days 07:21:00,0,1,7.35,3,9,Friday,Sexta
14/03/2025,09:05,16:20,IKL0O21,Renault/Sandero,2025-03-14 09:05:00,2025-03-14 16:20:00,0 days 07:15:00,0,1,7.25,3,9,Friday,Sexta
14/03/2025,09:46,15:18,OLP1P43,Jeep/Renegade,2025-03-14 09:46:00,2025-03-14 15:18:00,0 days 05:32:00,0,1,5.533333333333333,3,9,Friday,Sexta
14/03/2025,09:37,17:34,PAS2D65,Peugeot/308,2025-03-14 09:37:00,2025-03-14 17:34:00,0 days 07:57:00,0,1,7.95,3,9,Friday,Sexta
14/03/2025,08:00,18:12,DFG3S87,Citroen/C4,2025-03-14 08:00:00,2025-03-14 18:12:00,0 days 10:12:00,0,1,10.2,3,8,Friday,Sexta
14/03/2025,08:41,17:45,SDF4G09,Ford/Focus,2025-03-14 08:41:00,2025-03-14 17:45:00,0 days 09:04:00,0,1,9.066666666666666,3,8,Friday,Sexta
14/03/2025,08:29,18:41,GHG5H21,Kia/Soul,2025-03-14 08:29:00,2025-03-14 18:41:00,0 days 10:12:00,0,1,10.2,3,8,Friday,Sexta
14/03/2025,09:13,19:31,HJK6J43,Mitsubishi/ASX,2025-03-14 09:13:00,2025-03-14 19:31:00,0 days 10:18:00,0,1,10.3,3,9,Friday,Sexta
14/03/2025,09:17,15:08,JKL7K65,Suzuki/Swift,2025-03-14 09:17:00,2025-03-14 15:08:00,0 days 05:51:00,0,1,5.85,3,9,Friday,Sexta
14/03/2025,09:46,16:11,AJC7M65,Chevrolet/Celta,2025-03-14 09:46:00,2025-03-14 16:11:00,0 days 06:25:00,0,1,6.416666666666667,3,9,Friday,Sexta
14/03/2025,09:42,16:45,DEF7L65,Fiat/Uno,2025-03-14 09:42:00,2025-03-14 16:45:00,0 days 07:03:00,0,1,7.05,3,9,Friday,Sexta
14/03/2025,08:15,17:56,JBL7K65,Ford/Fiesta,2025-03-14 08:15:00,2025-03-14 17:56:00,0 days 09:41:00,0,1,9.683333333333334,3,8,Friday,Sexta
15/03/2025,08:56,17:22,WSX4E09,Chevrolet/Cruze,2025-03-15 08:56:00,2025-03-15 17:22:00,0 days 08:26:00,0,1,8.433333333333334,3,8,Saturday,Sábado
15/03/2025,09:15,15:46,TGB7Y65,Honda/Fit,2025-03-15 09:15:00,2025-03-15 15:46:00,0 days 06:31:00,0,1,6.516666666666667,3,9,Saturday,Sábado
15/03/2025,09:51,16:52,YHN8U87,Nissan/March,2025-03-15 09:51:00,2025-03-15 16:52:00,0 days 07:01:00,0,1,7.016666666666667,3,9,Saturday,Sábado
15/03/2025,09:36,15:22,DFG3S87,Citroen/C4,2025-03-15 09:36:00,2025-03-15 15:22:00,0 days 05:46:00,0,1,5.766666666666667,3,9,Saturday,Sábado
15/03/2025,08:47,18:07,GHG5H21,Kia/Soul,2025-03-15 08:47:00,2025-03-15 18:07:00,0 days 09:20:00,0,1,9.333333333333334,3,8,Saturday,Sábado
17/03/2025,06:56,16:33,ALC1D23,Toyota/Corolla,2025-03-17 06:56:00,2025-03-17 16:33:00,0 days 09:37:00,0,1,9.616666666666667,3,6,Monday,Segunda
17/03/2025,06:11,15:21,JDL2M45,Chevrolet/Onix,2025-03-17 06:11:00,2025-03-17 15:21:00,0 days 09:10:00,0,1,9.166666666666666,3,6,Monday,Segunda
17/03/2025,06:04,17:09,QWE3R67,Volkswagen/Polo,2025-03-17 06:04:00,2025-03-17 17:09:00,0 days 11:05:00,0,1,11.083333333333334,3,6,Monday,Segunda
17/03/2025,06:43,15:49,RTY4U89,Hyundai/HB20,2025-03-17 06:43:00,2025-03-17 15:49:00,0 days 09:06:00,0,1,9.1,3,6,Monday,Segunda
17/03/2025,06:47,19:42,UIO5P10,Honda/Civic,2025-03-17 06:47:00,2025-03-17 19:42:00,0 days 12:55:00,0,1,12.916666666666666,3,6,Monday,Segunda
17/03/2025,06:27,18:20,ASD6F32,Nissan/Kicks,2025-03-17 06:27:00,2025-03-17 18:20:00,0 days 11:53:00,0,1,11.883333333333333,3,6,Monday,Segunda
17/03/2025,06:48,15:26,ZXC7V54,Fiat/Fastback,2025-03-17 06:48:00,2025-03-17 15:26:00,0 days 08:38:00,0,1,8.633333333333333,3,6,Monday,Segunda
17/03/2025,06:02,15:46,VBN8G76,Renault/Kwid,2025-03-17 06:02:00,2025-03-17 15:46:00,0 days 09:44:00,0,1,9.733333333333333,3,6,Monday,Segunda
17/03/2025,06:29,19:09,MNB9H98,Jeep/Compass,2025-03-17 06:29:00,2025-03-17 19:09:00,0 days 12:40:00,0,1,12.666666666666666,3,6,Monday,Segunda
17/03/2025,06:52,18:38,POI0J21,Peugeot/208,2025-03-17 06:52:00,2025-03-17 18:38:00,0 days 11:46:00,0,1,11.766666666666667,3,6,Monday,Segunda
17/03/2025,06:51,19:46,LKM1Z43,Citroen/C3,2025-03-17 06:51:00,2025-03-17 19:46:00,0 days 12:55:00,0,1,12.916666666666666,3,6,Monday,Segunda
17/03/2025,06:49,18:24,HGF2X65,BYD/Dolphin,2025-03-17 06:49:00,2025-03-17 18:24:00,0 days 11:35:00,0,1,11.583333333333334,3,6,Monday,Segunda
17/03/2025,06:55,19:37,QAZ3W87,Toyota/Etios,2025-03-17 06:55:00,2025-03-17 19:37:00,0 days 12:42:00,0,1,12.7,3,6,Monday,Segunda
17/03/2025,08:40,17:43,WSX4E09,Chevrolet/Cruze,2025-03-17 08:40:00,2025-03-17 17:43:00,0 days 09:03:00,0,1,9.05,3,8,Monday,Segunda
17/03/2025,08:17,17:07,EDC5R21,Volkswagen/Fox,2025-03-17 08:17:00,2025-03-17 17:07:00,0 days 08:50:00,0,1,8.833333333333334,3,8,Monday,Segunda
17/03/2025,08:57,15:05,RFV6T43,Hyundai/Tucson,2025-03-17 08:57:00,2025-03-17 15:05:00,0 days 06:08:00,0,1,6.133333333333334,3,8,Monday,Segunda
17/03/2025,09:06,15:17,TGB7Y65,Honda/Fit,2025-03-17 09:06:00,2025-03-17 15:17:00,0 days 06:11:00,0,1,6.183333333333334,3,9,Monday,Segunda
17/03/2025,08:35,18:08,YHN8U87,Nissan/March,2025-03-17 08:35:00,2025-03-17 18:08:00,0 days 09:33:00,0,1,9.55,3,8,Monday,Segunda
17/03/2025,08:14,16:42,UJM9I09,Fiat/Palio,2025-03-17 08:14:00,2025-03-17 16:42:00,0 days 08:28:00,0,1,8.466666666666667,3,8,Monday,Segunda
17/03/2025,09:08,16:57,IKL0O21,Renault/Sandero,2025-03-17 09:08:00,2025-03-17 16:57:00,0 days 07:49:00,0,1,7.816666666666666,3,9,Monday,Segunda
17/03/2025,08:39,17:34,OLP1P43,Jeep/Renegade,2025-03-17 08:39:00,2025-03-17 17:34:00,0 days 08:55:00,0,1,8.916666666666666,3,8,Monday,Segunda
17/03/2025,09:30,17:57,PAS2D65,Peugeot/308,2025-03-17 09:30:00,2025-03-17 17:57:00,0 days 08:27:00,0,1,8.45,3,9,Monday,Segunda
17/03/2025,09:56,17:43,DFG3S87,Citroen/C4,2025-03-17 09:56:00,2025-03-17 17:43:00,0 days 07:47:00,0,1,7.783333333333333,3,9,Monday,Segunda
17/03/2025,09:26,17:49,SDF4G09,Ford/Focus,2025-03-17 09:26:00,2025-03-17 17:49:00,0 days 08:23:00,0,1,8.383333333333333,3,9,Monday,Segunda
17/03/2025,08:07,15:27,GHG5H21,Kia/Soul,2025-03-17 08:07:00,2025-03-17 15:27:00,0 days 07:20:00,0,1,7.333333333333333,3,8,Monday,Segunda
17/03/2025,09:58,19:12,HJK6J43,Mitsubishi/ASX,2025-03-17 09:58:00,2025-03-17 19:12:00,0 days 09:14:00,0,1,9.233333333333333,3,9,Monday,Segunda
17/03/2025,09:43,18:25,JKL7K65,Suzuki/Swift,2025-03-17 09:43:00,2025-03-17 18:25:00,0 days 08:42:00,0,1,8.7,3,9,Monday,Segunda
17/03/2025,08:43,16:44,AJC7M65,Chevrolet/Celta,2025-03-17 08:43:00,2025-03-17 16:44:00,0 days 08:01:00,0,1,8.016666666666667,3,8,Monday,Segunda
17/03/2025,10:34,15:14,DEF7L65,Fiat/Uno,2025-03-17 10:34:00,2025-03-17 15:14:00,0 days 04:40:00,0,1,4.666666666666667,3,10,Monday,Segunda
17/03/2025,10:06,17:43,JBL7K65,Ford/Fiesta,2025-03-17 10:06:00,2025-03-17 17:43:00,0 days 07:37:00,0,1,7.616666666666666,3,10,Monday,Segunda
18/03/2025,06:01,16:14,ALC1D23,Toyota/Corolla,2025-03-18 06:01:00,2025-03-18 16:14:00,0 days 10:13:00,0,1,10.216666666666667,3,6,Tuesday,Terça
18/03/2025,06:58,18:16,JDL2M45,Chevrolet/Onix,2025-03-18 06:58:00,2025-03-18 18:16:00,0 days 11:18:00,0,1,11.3,3,6,Tuesday,Terça
18/03/2025,06:02,16:18,QWE3R67,Volkswagen/Polo,2025-03-18 06:02:00,2025-03-18 16:18:00,0 days 10:16:00,0,1,10.266666666666667,3,6,Tuesday,Terça
18/03/2025,06:34,19:56,RTY4U89,Hyundai/HB20,2025-03-18 06:34:00,2025-03-18 19:56:00,0 days 13:22:00,0,1,13.366666666666667,3,6,Tuesday,Terça
18/03/2025,06:18,15:40,UIO5P10,Honda/Civic,2025-03-18 06:18:00,2025-03-18 15:40:00,0 days 09:22:00,0,1,9.366666666666667,3,6,Tuesday,Terça
18/03/2025,06:55,18:40,ASD6F32,Nissan/Kicks,2025-03-18 06:55:00,2025-03-18 18:40:00,0 days 11:45:00,0,1,11.75,3,6,Tuesday,Terça
18/03/2025,06:11,18:28,ZXC7V54,Fiat/Fastback,2025-03-18 06:11:00,2025-03-18 18:28:00,0 days 12:17:00,0,1,12.283333333333333,3,6,Tuesday,Terça
18/03/2025,06:54,15:22,VBN8G76,Renault/Kwid,2025-03-18 06:54:00,2025-03-18 15:22:00,0 days 08:28:00,0,1,8.466666666666667,3,6,Tuesday,Terça
18/03/2025,06:22,15:55,MNB9H98,Jeep/Compass,2025-03-18 06:22:00,2025-03-18 15:55:00,0 days 09:33:00,0,1,9.55,3,6,Tuesday,Terça
18/03/2025,06:51,18:02,POI0J21,Peugeot/208,2025-03-18 06:51:00,2025-03-18 18:02:00,0 days 11:11:00,0,1,11.183333333333334,3,6,Tuesday,Terça
18/03/2025,06:33,15:19,LKM1Z43,Citroen/C3,2025-03-18 06:33:00,2025-03-18 15:19:00,0 days 08:46:00,0,1,8.766666666666667,3,6,Tuesday,Terça
18/03/2025,06:08,18:43,HGF2X65,BYD/Dolphin,2025-03-18 06:08:00,2025-03-18 18:43:00,0 days 12:35:00,0,1,12.583333333333334,3,6,Tuesday,Terça
18/03/2025,06:26,17:56,QAZ3W87,Toyota/Etios,2025-03-18 06:26:00,2025-03-18 17:56:00,0 days 11:30:00,0,1,11.5,3,6,Tuesday,Terça
18/03/2025,08:58,16:59,WSX4E09,Chevrolet/Cruze,2025-03-18 08:58:00,2025-03-18 16:59:00,0 days 08:01:00,0,1,8.016666666666667,3,8,Tuesday,Terça
18/03/2025,08:15,17:02,EDC5R21,Volkswagen/Fox,2025-03-18 08:15:00,2025-03-18 17:02:00,0 days 08:47:00,0,1,8.783333333333333,3,8,Tuesday,Terça
18/03/2025,09:30,16:11,RFV6T43,Hyundai/Tucson,2025-03-18 09:30:00,2025-03-18 16:11:00,0 days 06:41:00,0,1,6.683333333333334,3,9,Tuesday,Terça
18/03/2025,08:36,17:12,TGB7Y65,Honda/Fit,2025-03-18 08:36:00,2025-03-18 17:12:00,0 days 08:36:00,0,1,8.6,3,8,Tuesday,Terça
18/03/2025,08:15,15:17,YHN8U87,Nissan/March,2025-03-18 08:15:00,2025-03-18 15:17:00,0 days 07:02:00,0,1,7.033333333333333,3,8,Tuesday,Terça
18/03/2025,08:13,19:17,UJM9I09,Fiat/Palio,2025-03-18 08:13:00,2025-03-18 19:17:00,0 days 11:04:00,0,1,11.066666666666666,3,8,Tuesday,Terça
18/03/2025,09:42,18:15,IKL0O21,Renault/Sandero,2025-03-18 09:42:00,2025-03-18 18:15:00,0 days 08:33:00,0,1,8.55,3,9,Tuesday,Terça
18/03/2025,08:20,18:28,OLP1P43,Jeep/Renegade,2025-03-18 08:20:00,2025-03-18 18:28:00,0 days 10:08:00,0,1,10.133333333333333,3,8,Tuesday,Terça
18/03/2025,08:25,19:32,PAS2D65,Peugeot/308,2025-03-18 08:25:00,2025-03-18 19:32:00,0 days 11:07:00,0,1,11.116666666666667,3,8,Tuesday,Terça
18/03/2025,08:07,19:08,DFG3S87,Citroen/C4,2025-03-18 08:07:00,2025-03-18 19:08:00,0 days 11:01:00,0,1,11.016666666666667,3,8,Tuesday,Terça
18/03/2025,08:37,16:46,SDF4G09,Ford/Focus,2025-03-18 08:37:00,2025-03-18 16:46:00,0 days 08:09:00,0,1,8.15,3,8,Tuesday,Terça
