Placa,Dia de Pagamento,Data do Pagamento
WSX4E09,20,20/06/2025
EDC5R21,15,10/06/2025
RFV6T43,10,10/06/2025
TGB7Y65,12,11/06/2025
YHN8U87,15,15/06/2025
UJM9I09,5,08/06/2025
IKL0O21,10,10/06/2025
OLP1P43,20,20/06/2025
PAS2D65,15,11/06/2025
DFG3S87,10,05/06/2025
SDF4G09,20,24/06/2025
GHG5H21,5,04/06/2025
HJK6J43,12,16/06/2025
JKL7K65,10,10/06/2025
AJC7M65,10,12/06/2025
DEF7L65,15,11/06/2025
JBL7K65,20,23/06/2025
ALC1D23,18,22/07/2025
DL2M45,15,15/07/2025
QWE3R67,10,10/07/2025
RTY4U89,5,10/07/2025
UIO5P10,1,04/07/2025
ASD6F32,15,14/07/2025
ZXC7V54,10,11/07/2025
VBN8G76,15,15/07/2025
MNB9H98,15,16/07/2025
POI0J21,5,01/07/2025
LKM1Z43,20,25/07/2025
HGF2X65,20,23/07/2025
QAZ3W87,1,01/07/2025
WSX4E09,20,25/07/2025
EDC5R21,15,15/07/2025
RFV6T43,10,10/07/2025
TGB7Y65,12,10/07/2025
YHN8U87,15,20/07/2025
UJM9I09,5,10/07/2025
IKL0O21,10,14/07/2025
OLP1P43,20,24/07/2025
PAS2D65,15,19/07/2025
DFG3S87,10,09/07/2025
SDF4G09,20,15/07/2025
GHG5H21,5,05/07/2025
HJK6J43,12,07/07/2025
JKL7K65,10,10/07/2025
AJC7M65,10,14/07/2025
DEF7L65,15,18/07/2025
JBL7K65,20,22/07/2025
ALC1D23,18,21/08/2025
DL2M45,15,15/08/2025
QWE3R67,10,14/08/2025
RTY4U89,5,05/08/2025
UIO5P10,1,01/08/2025
ASD6F32,15,15/08/2025
ZXC7V54,10,10/08/2025
VBN8G76,15,11/08/2025
MNB9H98,15,15/08/2025
POI0J21,5,05/08/2025
LKM1Z43,20,20/08/2025
HGF2X65,20,20/08/2025
QAZ3W87,1,01/08/2025
WSX4E09,20,22/08/2025
EDC5R21,15,10/08/2025
RFV6T43,10,14/08/2025
TGB7Y65,12,08/08/2025
YHN8U87,15,16/08/2025
UJM9I09,5,06/08/2025
IKL0O21,10,13/08/2025
OLP1P43,20,19/08/2025
PAS2D65,15,17/08/2025
DFG3S87,10,09/08/2025
SDF4G09,20,25/08/2025
GHG5H21,5,10/08/2025
HJK6J43,12,14/08/2025
JKL7K65,10,10/08/2025
AJC7M65,10,14/08/2025
DEF7L65,15,15/08/2025
JBL7K65,20,23/08/2025
ALC1D23,18,13/09/2025
DL2M45,15,20/09/2025
QWE3R67,10,10/09/2025
RTY4U89,5,05/09/2025
UIO5P10,1,01/09/2025
ASD6F32,15,15/09/2025
ZXC7V54,10,10/09/2025
VBN8G76,15,19/09/2025
MNB9H98,15,17/09/2025
POI0J21,5,05/09/2025
LKM1Z43,20,15/09/2025
HGF2X65,20,15/09/2025
QAZ3W87,1,01/09/2025
WSX4E09,20,24/09/2025
EDC5R21,15,15/09/2025
RFV6T43,10,10/09/2025
TGB7Y65,12,15/09/2025
YHN8U87,15,20/09/2025
UJM9I09,5,08/09/2025
IKL0O21,10,13/09/2025
OLP1P43,20,20/09/2025
PAS2D65,15,15/09/2025
DFG3S87,10,07/09/2025
SDF4G09,20,15/09/2025
GHG5H21,5,05/09/2025
HJK6J43,12,16/09/2025
JKL7K65,10,10/09/2025
AJC7M65,10,11/09/2025
DEF7L65,15,18/09/2025
JBL7K65,20,17/09/2025
