Placa,Dia de Pagamento,Data do Pagamento,Data_Limite_Pagamento_DT,Dia_Efetuado,Dia_Limite,Status_Pagamento
PAS2D65,15,19/07/2025,2025-07-19,15,19,Em Dia
DFG3S87,10,09/07/2025,2025-07-09,10,9,Inadimplente
SDF4G09,20,15/07/2025,2025-07-15,20,15,Inadimplente
GHG5H21,5,05/07/2025,2025-07-05,5,5,Em Dia
HJK6J43,12,07/07/2025,2025-07-07,12,7,Inadimplente
JKL7K65,10,10/07/2025,2025-07-10,10,10,Em Dia
AJC7M65,10,14/07/2025,2025-07-14,10,14,Em Dia
DEF7L65,15,18/07/2025,2025-07-18,15,18,Em Dia
JBL7K65,20,22/07/2025,2025-07-22,20,22,Em Dia
ALC1D23,18,21/08/2025,2025-08-21,18,21,Em Dia
DL2M45,15,15/08/2025,2025-08-15,15,15,Em Dia
QWE3R67,10,14/08/2025,2025-08-14,10,14,Em Dia
RTY4U89,5,05/08/2025,2025-08-05,5,5,Em Dia
UIO5P10,1,01/08/2025,2025-08-01,1,1,Em Dia
ASD6F32,15,15/08/2025,2025-08-15,15,15,Em Dia
ZXC7V54,10,10/08/2025,2025-08-10,10,10,Em Dia
VBN8G76,15,11/08/2025,2025-08-11,15,11,Inadimplente
MNB9H98,15,15/08/2025,2025-08-15,15,15,Em Dia
POI0J21,5,05/08/2025,2025-08-05,5,5,Em Dia
LKM1Z43,20,20/08/2025,2025-08-20,20,20,Em Dia
HGF2X65,20,20/08/2025,2025-08-20,20,20,Em Dia
QAZ3W87,1,01/08/2025,2025-08-01,1,1,Em Dia
WSX4E09,20,22/08/2025,2025-08-22,20,22,Em Dia
EDC5R21,15,10/08/2025,2025-08-10,15,10,Inadimplente
RFV6T43,10,14/08/2025,2025-08-14,10,14,Em Dia
TGB7Y65,12,08/08/2025,2025-08-08,12,8,Inadimplente
YHN8U87,15,16/08/2025,2025-08-16,15,16,Em Dia
UJM9I09,5,06/08/2025,2025-08-06,5,6,Em Dia
IKL0O21,10,13/08/2025,2025-08-13,10,13,Em Dia
OLP1P43,20,19/08/2025,2025-08-19,20,19,Inadimplente
PAS2D65,15,17/08/2025,2025-08-17,15,17,Em Dia
DFG3S87,10,09/08/2025,2025-08-09,10,9,Inadimplente
SDF4G09,20,25/08/2025,2025-08-25,20,25,Em Dia
GHG5H21,5,10/08/2025,2025-08-10,5,10,Em Dia
HJK6J43,12,14/08/2025,2025-08-14,12,14,Em Dia
JKL7K65,10,10/08/2025,2025-08-10,10,10,Em Dia
AJC7M65,10,14/08/2025,2025-08-14,10,14,Em Dia
DEF7L65,15,15/08/2025,2025-08-15,15,15,Em Dia
JBL7K65,20,23/08/2025,2025-08-23,20,23,Em Dia
ALC1D23,18,13/09/2025,2025-09-13,18,13,Inadimplente
DL2M45,15,20/09/2025,2025-09-20,15,20,Em Dia
QWE3R67,10,10/09/2025,2025-09-10,10,10,Em Dia
RTY4U89,5,05/09/2025,2025-09-05,5,5,Em Dia
UIO5P10,1,01/09/2025,2025-09-01,1,1,Em Dia
ASD6F32,15,15/09/2025,2025-09-15,15,15,Em Dia
ZXC7V54,10,10/09/2025,2025-09-10,10,10,Em Dia
VBN8G76,15,19/09/2025,2025-09-19,15,19,Em Dia
MNB9H98,15,17/09/2025,2025-09-17,15,17,Em Dia
POI0J21,5,05/09/2025,2025-09-05,5,5,Em Dia
LKM1Z43,20,15/09/2025,2025-09-15,20,15,Inadimplente
HGF2X65,20,15/09/2025,2025-09-15,20,15,Inadimplente
QAZ3W87,1,01/09/2025,2025-09-01,1,1,Em Dia
WSX4E09,20,24/09/2025,2025-09-24,20,24,Em Dia
EDC5R21,15,15/09/2025,2025-09-15,15,15,Em Dia
RFV6T43,10,10/09/2025,2025-09-10,10,10,Em Dia
TGB7Y65,12,15/09/2025,2025-09-15,12,15,Em Dia
YHN8U87,15,20/09/2025,2025-09-20,15,20,Em Dia
UJM9I09,5,08/09/2025,2025-09-08,5,8,Em Dia
IKL0O21,10,13/09/2025,2025-09-13,10,13,Em Dia
OLP1P43,20,20/09/2025,2025-09-20,20,20,Em Dia
PAS2D65,15,15/09/2025,2025-09-15,15,15,Em Dia
DFG3S87,10,07/09/2025,2025-09-07,10,7,Inadimplente
SDF4G09,20,15/09/2025,2025-09-15,20,15,Inadimplente
GHG5H21,5,05/09/2025,2025-09-05,5,5,Em Dia
HJK6J43,12,16/09/2025,2025-09-16,12,16,Em Dia
JKL7K65,10,10/09/2025,2025-09-10,10,10,Em Dia
AJC7M65,10,11/09/2025,2025-09-11,10,11,Em Dia
DEF7L65,15,18/09/2025,2025-09-18,15,18,Em Dia
JBL7K65,20,17/09/2025,2025-09-17,20,17,Inadimplente
